County,City,Population
Alameda,Alameda,73812
Alameda,Albany,18539
Alameda,Berkeley,112580
Alameda,Dublin,46036
Alameda,Emeryville,10080
Alameda,Fremont,214089
Alameda,Hayward,144186
Alameda,Livermore,80968
Alameda,Newark,42573
Alameda,Oakland,390724
Alameda,Piedmont,10667
Alameda,Pleasanton,70285
Alameda,San Leandro,84950
Alameda,Union City,69516
Alpine,Alpine,1175
Amador,Amador City,185
Amador,Ione,7918
Amador,Jackson,4651
Amador,Plymouth,1005
Amador,Sutter Creek,2501
Butte,Biggs,1707
Butte,Chico,86187
Butte,Gridley,6584
Butte,Oroville,15546
Butte,Paradise,26218
Calaveras,Angels,3836
Colusa,Colusa,5971
Colusa,Williams,5123
Contra Costa,Antioch,102372
Contra Costa,Brentwood,51481
Contra Costa,Clayton,10897
Contra Costa,Concord,122067
Contra Costa,Danville,42039
Contra Costa,El Cerrito,23549
Contra Costa,Hercules,24060
Contra Costa,Lafayette,23893
Contra Costa,Martinez,35824
Contra Costa,Moraga,16016
Contra Costa,Oakley,35432
Contra Costa,Orinda,17643
Contra Costa,Pinole,18390
Contra Costa,Pittsburg,63264
Contra Costa,Pleasant Hill,33152
Contra Costa,Richmond,103701
Contra Costa,San Pablo,29139
Contra Costa,San Ramon,72148
Contra Costa,Walnut Creek,64173
Del Norte,Crescent City,7643
El Dorado,Placerville,10389
El Dorado,South Lake Tahoe,21403
Fresno,Clovis,95631
Fresno,Coalinga,13380
Fresno,Firebaugh,7549
Fresno,Fowler,5570
Fresno,Fresno,494665
Fresno,Huron,6754
Fresno,Kerman,13544
Fresno,Kingsburg,11382
Fresno,Mendota,11014
Fresno,Orange Cove,9078
Fresno,Parlier,14494
Fresno,Reedley,24194
Fresno,San Joaquin,4001
Fresno,Sanger,24270
Fresno,Selma,23219
Glenn,Orland,7291
Glenn,Willows,6166
Humboldt,Arcata,17231
Humboldt,Blue Lake,1253
Humboldt,Eureka,27191
Humboldt,Ferndale,1371
Humboldt,Fortuna,11926
Humboldt,Rio Dell,3368
Humboldt,Trinidad,367
Imperial,Brawley,24953
Imperial,Calexico,38572
Imperial,Calipatria,7705
Imperial,El Centro,42598
Imperial,Holtville,5939
Imperial,Imperial,14758
Imperial,Westmorland,2225
Inyo,Bishop,3879
Kern,Arvin,19304
Kern,Bakersfield,347483
Kern,California City,14120
Kern,Delano,53041
Kern,Maricopa,1154
Kern,McFarland,12707
Kern,McKittrick,
Kern,Ridgecrest,27616
Kern,Shafter,16988
Kern,Taft,9327
Kern,Tehachapi,14414
Kern,Wasco,25545
Kings,Avenal,15505
Kings,Corcoran,24813
Kings,Hanford,53967
Kings,Lemoore,24531
Lake,Clearlake,15250
Lake,Kelseyville,
Lake,Lakeport,4753
Lassen,Susanville,17947
Los Angeles,Agoura Hills,20330
Los Angeles,Alhambra,83089
Los Angeles,Arcadia,56364
Los Angeles,Artesia,16522
Los Angeles,Avalon,3728
Los Angeles,Azusa,46361
Los Angeles,Baldwin Park,75390
Los Angeles,Bell,35477
Los Angeles,Bell Gardens,42072
Los Angeles,Bellflower,76616
Los Angeles,Beverly Hills,34109
Los Angeles,Bradbury,1048
Los Angeles,Burbank,103340
Los Angeles,Calabasas,23058
Los Angeles,Carson,91714
Los Angeles,Cerritos,49041
Los Angeles,Claremont,34926
Los Angeles,Commerce,12823
Los Angeles,Compton,96455
Los Angeles,Covina,47796
Los Angeles,Cudahy,23805
Los Angeles,Culver City,38883
Los Angeles,Diamond Bar,55544
Los Angeles,Downey,111772
Los Angeles,Duarte,21321
Los Angeles,El Monte,113475
Los Angeles,El Segundo,16654
Los Angeles,Gardena,58829
Los Angeles,Glendale,191719
Los Angeles,Glendora,50073
Los Angeles,Hawaiian Gardens,14254
Los Angeles,Hawthorne,84293
Los Angeles,Hermosa Beach,19506
Los Angeles,Hidden Hills,1856
Los Angeles,Huntington Park,58114
Los Angeles,Industry,219
Los Angeles,Inglewood,109673
Los Angeles,Irwindale,1422
Los Angeles,La Cañada Flintridge,20246
Los Angeles,La Habra Heights,5325
Los Angeles,La Mirada,48527
Los Angeles,La Puente,39816
Los Angeles,La Verne,31063
Los Angeles,Lakewood,80048
Los Angeles,Lancaster,156633
Los Angeles,Lawndale,32769
Los Angeles,Lomita,20256
Los Angeles,Long Beach,462257
Los Angeles,Los Angeles,3792621
Los Angeles,Lynwood,69772
Los Angeles,Malibu,12645
Los Angeles,Manhattan Beach,35135
Los Angeles,Maywood,27395
Los Angeles,Monrovia,36590
Los Angeles,Montebello,62500
Los Angeles,Monterey Park,60269
Los Angeles,Norwalk,105549
Los Angeles,Palmdale,152750
Los Angeles,Palos Verdes Estates,13438
Los Angeles,Paramount,54098
Los Angeles,Pasadena,137122
Los Angeles,Pico Rivera,62942
Los Angeles,Pomona,149058
Los Angeles,Rancho Palos Verdes,41643
Los Angeles,Redondo Beach,66748
Los Angeles,Rolling Hills,1860
Los Angeles,Rolling Hills Estates,8067
Los Angeles,Rosemead,53764
Los Angeles,San Dimas,33371
Los Angeles,San Fernando,23645
Los Angeles,San Gabriel,39718
