City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,TotalCrime
Adelanto,33005,212,2,14,48,148,808,434,254,120,24,2064
Agoura Hills,20970,15,0,1,6,8,310,82,217,11,0,650
Alameda,78613,148,2,7,61,78,"1,819",228,"1,245",346,18,3952
Albany,19723,34,1,6,16,11,605,95,447,63,0,1278
Alhambra3,86175,168,1,13,74,80,"1,929",305,"1,413",211,6,4200
Aliso Viejo,50751,32,0,5,3,24,363,53,276,34,1,791
Alturas3,2566,35,0,13,2,20,61,9,48,4,4,196
American Canyon3,20687,58,1,7,21,29,634,97,493,44,2,1386
Anaheim3,349471,"1,271",18,129,439,685,"10,038","1,476","6,893","1,669",28,22646
Anderson,10277,88,0,4,9,75,474,60,358,56,2,1126
Antioch,110537,771,7,53,280,431,"3,912",862,"2,026","1,024",36,9402
Apple Valley,72173,234,1,15,50,168,"1,878",427,"1,187",264,14,4238
Arcadia,58694,68,1,6,31,30,"1,272",316,892,64,3,2683
Arcata3,17789,54,2,7,11,34,670,160,443,67,18,1466
Arroyo Grande3,18071,35,0,2,6,27,418,83,299,36,0,906
Artesia,16988,84,0,2,30,52,468,99,258,111,3,1107
Arvin,20902,149,3,1,14,131,457,143,201,113,16,1228
Atascadero3,29316,90,0,11,15,64,475,119,323,33,5,1135
Atherton,7205,3,0,1,2,0,86,30,54,2,1,179
Atwater,29219,197,3,8,26,160,"1,099",167,757,175,10,2602
Auburn,14118,45,0,2,7,36,260,56,178,26,0,610
Avalon,3820,12,0,2,1,9,56,12,39,5,0,136
Avenal3,12859,25,2,1,4,18,196,58,118,20,0,442
Azusa,49431,173,2,13,49,109,"1,212",232,784,196,7,2777
Bakersfield,373887,"1,810",22,71,655,"1,062","15,559","3,877","9,288","2,394",339,35077
Baldwin Park3,77538,299,1,34,77,187,"1,442",243,868,331,5,3487
Banning,31030,197,8,29,29,131,608,248,221,139,0,1610
Barstow,23700,283,2,12,70,199,"1,037",447,408,182,15,2655
Bear Valley3,5428,5,1,1,0,3,67,4,63,0,0,144
Beaumont,43626,138,1,17,21,99,887,157,582,148,4,2054
Bell,36395,221,1,17,70,133,772,194,443,135,0,1986
Bellflower,78635,373,1,21,152,199,"1,825",452,816,557,13,4409
Bell Gardens3,43411,137,0,6,51,80,782,91,392,299,9,1847
Belmont,27377,26,1,3,5,17,447,65,341,41,2,948
Belvedere,2144,0,0,0,0,0,29,3,25,1,0,58
Benicia,28159,29,0,7,8,14,512,112,338,62,8,1090
Berkeley,120387,530,1,44,330,155,"5,906","1,090","4,099",717,22,12894
Beverly Hills3,35054,99,1,9,40,49,"1,236",234,930,72,4,2674
Big Bear Lake,5209,54,0,5,5,44,248,75,157,16,6,610
Biggs3,1712,24,0,1,1,22,28,5,14,9,0,104
Bishop3,3833,38,0,2,4,32,105,12,85,8,0,286
Blythe,18961,90,1,7,22,60,847,293,529,25,23,1897
Bradbury,1097,1,0,0,0,1,10,6,3,1,0,22
Brawley3,26023,146,1,8,14,123,958,260,654,44,18,2226
Brea3,42043,80,0,2,31,47,"1,257",153,"1,035",69,2,2676
Brentwood,58398,110,0,17,43,50,"1,288",158,985,145,7,2803
Brisbane,4696,9,0,1,1,7,92,36,49,7,0,202
Broadmoor,4382,16,0,0,6,10,80,35,29,16,0,192
Buellton3,5097,4,0,1,1,2,54,15,39,0,0,116
Buena Park3,83684,237,1,19,67,150,"2,549",332,"1,831",386,5,5577
Burbank,105865,159,1,10,50,98,"2,656",297,"2,136",223,13,5643
Burlingame,30672,45,1,6,11,27,948,192,626,130,2,1988
Calabasas,24505,15,0,5,9,1,272,57,201,14,2,576
Calexico3,40085,169,0,2,41,126,"1,567",367,911,289,21,3493
California City,13218,121,0,5,20,96,516,270,218,28,1,1275
Calimesa,8553,17,0,0,5,12,291,71,186,34,0,616
Calistoga,5338,11,1,2,1,7,81,10,64,7,1,185
Camarillo,67325,114,2,16,30,66,"1,116",217,840,59,17,2477
Campbell,41544,88,1,11,30,46,"1,393",247,"1,004",142,14,2976
