,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
13107,1996-04-30,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.6475,122.5328,154.4287,220175.0,136.0,,,,,,,,,,,,,,,173700.0,235300.0,271200.0,313900.0,216600.0,160000.0,167500.0,216600.0,237600.0,295600.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13108,1996-05-31,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9895,121.3681,151.1194,217925.0,138.0,,,,,,,,,,,,,,,174800.0,238400.0,273900.0,319200.0,218900.0,159700.0,168700.0,218900.0,240900.0,298600.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13109,1996-06-30,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.4496,122.5487,155.6385,232675.0,138.0,,,,,,,,,,,,,,,175300.0,240000.0,275900.0,321400.0,220000.0,159000.0,169600.0,220000.0,242400.0,301500.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13110,1996-07-31,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6933,124.211,157.7988,224700.0,139.0,,,,,,,,,,,,,,,175400.0,240300.0,277300.0,320900.0,221300.0,158400.0,171100.0,221300.0,242600.0,304100.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13111,1996-08-31,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.4772,119.4106,156.8806,224200.0,140.0,,,,,,,,,,,,,,,175000.0,239300.0,277500.0,319200.0,222600.0,158300.0,172100.0,222600.0,242000.0,305100.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13112,1996-09-30,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.9791,120.764,154.7067,213550.0,140.0,,,,,,,,,,,,,,,174500.0,238400.0,277400.0,317400.0,223200.0,158200.0,171500.0,223200.0,241600.0,305700.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13113,1996-10-31,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.9786,121.03,152.0251,214350.0,140.0,,,,,,,,,,,,,,,174200.0,238900.0,276600.0,314800.0,223600.0,158100.0,170400.0,223600.0,241700.0,306000.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13114,1996-11-30,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.7401,123.4503,149.7341,223850.0,141.0,,,,,,,,,,,,,,,175000.0,239900.0,276800.0,314700.0,224600.0,158800.0,170300.0,224600.0,242100.0,307800.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13115,1996-12-31,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.5763,126.2966,152.8881,232950.0,143.0,,,,,,,,,,,,,,,176700.0,240600.0,279400.0,316800.0,226500.0,160300.0,171600.0,226500.0,242600.0,310900.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
13116,1997-01-31,alamedaalamedaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2029,,149.5488,224550.0,145.0,,,,,,,,,,,,,,,178800.0,242500.0,282800.0,319100.0,229600.0,162300.0,173600.0,229600.0,244100.0,314100.0,,,,,,alamedaalamedaca,Alameda,Alameda,CA
