,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
13364,1996-04-30,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0057,,182.7923,514750.0,181.0,,,,,,,,,,,,,,,,412900.0,528900.0,634400.0,519000.0,389000.0,,519000.0,520100.0,1060100.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13365,1996-05-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.7677,,180.231,526600.0,179.0,,,,,,,,,,,,,,,,411800.0,520100.0,635500.0,509100.0,387000.0,,509100.0,510600.0,1059600.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13366,1996-06-30,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.6847,,175.0193,515475.0,178.0,,,,,,,,,,,,,,,,411000.0,510200.0,636800.0,498800.0,384700.0,,498800.0,500300.0,1058200.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13367,1996-07-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.071,,171.4551,502025.0,177.0,,,,,,,,,,,,,,,,411000.0,504900.0,639400.0,493700.0,384100.0,,493700.0,494700.0,1056600.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13368,1996-08-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6015,,180.2471,515775.0,177.0,,,,,,,,,,,,,,,,411400.0,505100.0,640500.0,493200.0,384100.0,,493200.0,494400.0,1055400.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13369,1996-09-30,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.347,,174.4837,531125.0,177.0,,,,,,,,,,,,,,,,411500.0,507300.0,641300.0,494400.0,383200.0,,494400.0,496100.0,1055300.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13370,1996-10-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6477,,183.1092,526750.0,177.0,,,,,,,,,,,,,,,,409700.0,510500.0,641400.0,497400.0,381600.0,,497400.0,499100.0,1055900.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13371,1996-11-30,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.9988,,180.8673,476250.0,177.0,,,,,,,,,,,,,,,,409000.0,513900.0,639700.0,500600.0,381100.0,,500600.0,501900.0,1057500.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13372,1996-12-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0601,,176.3423,558250.0,178.0,,,,,,,,,,,,,,,,410500.0,516400.0,639000.0,502400.0,382800.0,,502400.0,503800.0,1059400.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13373,1997-01-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.8791,,174.4066,538350.0,179.0,,,,,,,,,,,,,,,,412700.0,518100.0,641800.0,503600.0,384500.0,,503600.0,505600.0,1060400.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13374,1997-02-28,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6613,,176.2491,508900.0,180.0,20.17,73.4,,,,,,,,,,,,,,414400.0,521400.0,650400.0,506700.0,386000.0,,506700.0,508800.0,1061100.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13375,1997-03-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7534,,185.7534,515250.0,181.0,21.18,72.19,,,,,,,,,,,,,,415800.0,526300.0,656800.0,511500.0,388800.0,,511500.0,513200.0,1060700.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13376,1997-04-30,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.1367,,188.3013,563650.0,182.0,25.74,67.64,,,,,,,,,,,,,,418100.0,530800.0,657200.0,516800.0,392300.0,,516800.0,518000.0,1060700.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13377,1997-05-31,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.4582,,190.3956,582000.0,183.0,25.64,67.9,,,,,,,,,,,,,,420500.0,534200.0,657800.0,520500.0,394800.0,,520500.0,521900.0,1062500.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
13378,1997-06-30,alamocontra_costaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9053,,191.8495,552850.0,185.0,23.94,68.06,,,,,,,,,,,,,,423700.0,539700.0,665900.0,526000.0,399400.0,,526000.0,527700.0,1065900.0,,,,,,alamocontra_costaca,Alamo,Contra Costa,CA
