,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
1043653,1996-04-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,129500.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043654,1996-05-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,128400.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043655,1996-06-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,127900.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043656,1996-07-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,127900.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043657,1996-08-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,129700.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043658,1996-09-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,131300.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043659,1996-10-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,131600.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043660,1996-11-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,130100.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043661,1996-12-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,130000.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043662,1997-01-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,130900.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043663,1997-02-28,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,36.07,60.52,,,,,,,,,,,,,,130500.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043664,1997-03-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,36.2,59.84,,,,,,,,,,,,,,127900.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043665,1997-04-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,64.75,31.97,,,,,,,,,,,,,,125600.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043666,1997-05-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,45.36,49.18,,,,,,,,,,,,,,124600.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043667,1997-06-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,50.0,46.72,,,,,,,,,,,,,,121800.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043668,1997-07-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,65.3,31.42,,,,,,,,,,,,,,120300.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043669,1997-08-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,72.13,22.95,,,,,,,,,,,,,,121400.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043670,1997-09-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,86.78,10.35,,,,,,,,,,,,,,123000.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043671,1997-10-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,123700.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043672,1997-11-30,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,78.2,12.53,,,,,,,,,,,,,,124600.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043673,1997-12-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,123900.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
1043674,1998-01-31,janesvillelassenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,4.0858,,,123800.0,,,,,,,,,,,,,,janesvillelassenca,Janesville,Lassen,CA
