,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
977747,1996-04-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169400.0,103.0,,,,,,,,,,,,,,,,165200.0,208700.0,237300.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977748,1996-05-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166750.0,102.0,,,,,,,,,,,,,,,,164600.0,209500.0,240100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977749,1996-06-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174350.0,102.0,,,,,,,,,,,,,,,,162800.0,211500.0,242800.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977750,1996-07-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171150.0,103.0,,,,,,,,,,,,,,,,162200.0,214200.0,244400.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977751,1996-08-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168750.0,103.0,,,,,,,,,,,,,,,,163400.0,214000.0,246600.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977752,1996-09-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170225.0,104.0,,,,,,,,,,,,,,,,166000.0,214600.0,248700.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977753,1996-10-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171025.0,105.0,,,,,,,,,,,,,,,,168400.0,216900.0,250000.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977754,1996-11-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172600.0,106.0,,,,,,,,,,,,,,,,168600.0,218300.0,249100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977755,1996-12-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172650.0,106.0,,,,,,,,,,,,,,,,168900.0,216900.0,245000.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977756,1997-01-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185225.0,106.0,,,,,,,,,,,,,,,,168300.0,215900.0,240600.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977757,1997-02-28,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182500.0,105.0,22.46,71.61,,,,,,,,,,,,,,166100.0,216100.0,240200.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977758,1997-03-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180875.0,104.0,23.15,71.37,,,,,,,,,,,,,,164800.0,216700.0,241100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977759,1997-04-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181750.0,104.0,24.47,68.74,,,,,,,,,,,,,,166500.0,215100.0,241500.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977760,1997-05-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.333333333333,,119.333333333333,181250.0,105.0,31.87,60.35,,,,,,,,,,,,,,166900.0,213200.0,238700.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977761,1997-06-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3682,,115.3682,187900.0,105.0,27.85,64.73,,,,,,,,,,,,,,166900.0,213400.0,234300.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977762,1997-07-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192600.0,106.0,17.53,76.84,,,,,,,,,,,,,,169000.0,215900.0,234000.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977763,1997-08-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197500.0,107.0,14.88,80.97,,,,,,,,,,,,,,170800.0,218900.0,240600.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977764,1997-09-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.174924601465,,114.174924601465,201250.0,108.0,16.87,79.34,,,,,,,,,,,,,,170900.0,222300.0,249500.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977765,1997-10-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8038,,118.4666,200650.0,108.0,17.11,79.58,,,,,,,,,,,,,,171500.0,225100.0,256400.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977766,1997-11-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198575.0,109.0,22.85,71.95,,,,,,,,,,,,,,173100.0,228900.0,257100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977767,1997-12-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200725.0,110.0,20.19,73.29,,,,,,,,,,,,,,175100.0,230600.0,254400.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977768,1998-01-31,hollistersan_benitoca,0.7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.129032258065,,,199450.0,112.0,16.06,78.49,,,,,,,,,1.2319,,6.9971,,,178300.0,229600.0,252200.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977769,1998-02-28,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196800.0,111.0,16.92,77.95,,,,,,,,,,,7.1324,,,179800.0,228800.0,249500.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977770,1998-03-31,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0493,,,200125.0,112.0,20.59,74.95,,,,,,,,,,,7.4448,,,180600.0,230100.0,252100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977771,1998-04-30,hollistersan_benitoca,0.9492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205925.0,114.0,10.51,86.09,,,,,,,,,,,7.6426,,,181800.0,236500.0,259100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977772,1998-05-31,hollistersan_benitoca,1.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207250.0,,,,,,,,,,,,,,7.6218,,,,,,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977773,1998-06-30,hollistersan_benitoca,1.5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.272727272727,,,208600.0,,,,,,,,,,,,0.5377,,8.0175,,,,,,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977774,1998-07-31,hollistersan_benitoca,1.2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3281,,123.96694214876001,217900.0,117.0,7.73,89.64,,,,,,,,,,,8.4027,,,184700.0,243700.0,264200.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977775,1998-08-31,hollistersan_benitoca,1.5611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229450.0,118.0,9.4,87.41,,,,,,,,,,,8.434,,,187500.0,245000.0,265200.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977776,1998-09-30,hollistersan_benitoca,1.2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1697,,,230750.0,119.0,15.64,80.82,,,,,,,,,0.8475,,8.2778,,,190700.0,244000.0,269300.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977777,1998-10-31,hollistersan_benitoca,0.6156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.1011,,,232675.0,119.0,12.15,85.18,,,,,,,,,1.3508,,8.132,,,191900.0,245400.0,271400.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977778,1998-11-30,hollistersan_benitoca,1.0939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.3033,,,223875.0,119.0,9.46,87.13,,,,,,,,,1.5092,,8.3507,,,191800.0,244700.0,269200.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977779,1998-12-31,hollistersan_benitoca,1.1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226000.0,118.0,12.74,84.35,,,,,,,,,0.7345,,8.3611,,,190600.0,241700.0,263300.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977780,1999-01-31,hollistersan_benitoca,1.0911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232100.0,117.0,9.75,87.46,,,,,,,,,0.9636,,8.4965,,,188700.0,238700.0,260800.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977781,1999-02-28,hollistersan_benitoca,0.9499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227950.0,117.0,8.08,89.42,,,,,,,,,,,8.6214,,,187600.0,238400.0,263300.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977782,1999-03-31,hollistersan_benitoca,0.4749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.978195033313,,135.978195033313,232200.0,117.0,9.83,87.83,,,,,,,,,1.9093,,8.8609,,,187700.0,239800.0,267200.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977783,1999-04-30,hollistersan_benitoca,1.0839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234650.0,117.0,10.98,85.82,,,,,,,,,1.1798,,9.2045,,,186900.0,239600.0,270100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977784,1999-05-31,hollistersan_benitoca,0.6586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.1541,,136.6319,236950.0,117.0,12.43,84.71,,,,,,,,,1.0674,,9.4232,,,187100.0,238700.0,271100.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977785,1999-06-30,hollistersan_benitoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.7318,,141.8078,240850.0,119.0,16.76,79.38,,,,,,,,,,,9.7668,,,190600.0,240800.0,270700.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977786,1999-07-31,hollistersan_benitoca,0.4731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.018,,138.7042,246300.0,120.0,16.34,80.11,,,,,,,,,,,9.9542,,,193500.0,244300.0,271700.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
977787,1999-08-31,hollistersan_benitoca,2.2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.9648,,143.2475,242750.0,121.0,12.19,84.88,,,,,,,,,,,10.2041,,,194000.0,247400.0,278200.0,,,,,,,,,,,,hollistersan_benitoca,Hollister,San Benito,CA
