,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
30326,1996-04-30,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1601,,109.1601,196323.5294,105.0,,,,,,,,,,,,,,,,,267800.0,311100.0,218600.0,,91700.0,218600.0,225700.0,299000.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30327,1996-05-31,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3856,,108.3856,213050.0,104.0,,,,,,,,,,,,,,,,,265700.0,309700.0,217800.0,,89900.0,217800.0,224000.0,296700.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30328,1996-06-30,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.1075,,107.4759,201325.0,104.0,,,,,,,,,,,,,,,,,264700.0,309500.0,217800.0,,87900.0,217800.0,223400.0,297500.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30329,1996-07-31,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.6627,,105.9206,191550.0,104.0,,,,,,,,,,,,,,,,,264200.0,311400.0,218200.0,,85000.0,218200.0,223600.0,299900.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30330,1996-08-31,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1885,,109.29899999999999,176550.0,104.0,,,,,,,,,,,,,,,,,264600.0,314300.0,217800.0,,82200.0,217800.0,223000.0,302700.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30331,1996-09-30,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,264400.0,314500.0,217100.0,,80700.0,217100.0,222000.0,304700.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30332,1996-10-31,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,264900.0,312200.0,217400.0,,80700.0,217400.0,221900.0,307100.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30333,1996-11-30,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,265900.0,316200.0,217700.0,,81300.0,217700.0,222600.0,309600.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30334,1996-12-31,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,266800.0,320400.0,217200.0,,82400.0,217200.0,222600.0,308100.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
30335,1997-01-31,alpinesan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,267600.0,319700.0,217100.0,,83300.0,217100.0,222500.0,302700.0,,,,,,alpinesan_diegoca,Alpine,San Diego,CA
