,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
1924326,1996-04-30,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.2697,235.6427,186.9295,259300.0,201.0,,,,,,,,,,,,,,198600.0,255000.0,285600.0,321600.0,368400.0,262500.0,191800.0,264600.0,262500.0,261300.0,364900.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924327,1996-05-31,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.27900000000002,241.0229,189.0129,265700.0,203.0,,,,,,,,,,,,,,200000.0,256900.0,287000.0,323200.0,375100.0,263500.0,192900.0,263700.0,263500.0,263400.0,369600.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924328,1996-06-30,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.2094,237.5404,193.3584,274250.0,205.0,,,,,,,,,,,,,,200600.0,257700.0,288800.0,325800.0,382300.0,264100.0,193700.0,261700.0,264100.0,265300.0,373600.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924329,1996-07-31,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.8616,239.3072,189.2161,273000.0,206.0,,,,,,,,,,,,,,200700.0,258300.0,290800.0,328200.0,388700.0,265000.0,193700.0,260900.0,265000.0,266900.0,377200.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924330,1996-08-31,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.4356,239.475,191.46599999999998,268650.0,207.0,,,,,,,,,,,,,,201100.0,259600.0,292500.0,329900.0,394600.0,266300.0,193100.0,261800.0,266300.0,268200.0,380300.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924331,1996-09-30,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.2564,242.4814,193.386,262600.0,207.0,,,,,,,,,,,,,,201100.0,260700.0,293500.0,330700.0,398500.0,267300.0,192500.0,262700.0,267300.0,269100.0,382500.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924332,1996-10-31,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5267,249.2296,188.1927,250400.0,208.0,,,,,,,,,,,,,,201800.0,261400.0,294400.0,331200.0,400000.0,267900.0,192400.0,263300.0,267900.0,270300.0,384600.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924333,1996-11-30,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.3528,244.5294,188.4634,255350.0,208.0,,,,,,,,,,,,,,202500.0,262500.0,296400.0,332000.0,401300.0,269100.0,192800.0,264100.0,269100.0,271700.0,387400.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924334,1996-12-31,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2922,241.6389,192.1327,263750.0,210.0,,,,,,,,,,,,,,203700.0,264400.0,298800.0,333800.0,405000.0,270800.0,193900.0,266300.0,270800.0,273000.0,391000.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
1924335,1997-01-31,san_franciscosan_franciscoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0524,239.9087,189.56,268250.0,212.0,,,,,,,,,,,,,,208000.0,267300.0,301800.0,337000.0,411500.0,273300.0,196300.0,270100.0,273300.0,274700.0,395200.0,,,,,,san_franciscosan_franciscoca,San Francisco,San Francisco,CA
