,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
34177,1996-04-30,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,157900.0,172600.0,190100.0,233400.0,171600.0,153900.0,,171600.0,171700.0,195700.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34178,1996-05-31,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,157900.0,172700.0,191100.0,228700.0,171400.0,152400.0,,171400.0,171300.0,197200.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34179,1996-06-30,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,159400.0,172800.0,192100.0,227400.0,171500.0,152300.0,,171500.0,171100.0,198800.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34180,1996-07-31,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,161100.0,173200.0,192100.0,226400.0,172100.0,153100.0,,172100.0,171700.0,199800.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34181,1996-08-31,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.079847908745,,133.079847908745,158000.0,148.0,,,,,,,,,,,,,,,162300.0,174000.0,191300.0,221800.0,172500.0,153900.0,,172500.0,172300.0,200400.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34182,1996-09-30,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,163300.0,174400.0,191300.0,221000.0,172500.0,154400.0,,172500.0,172500.0,200600.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34183,1996-10-31,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,165000.0,174900.0,192000.0,221800.0,173100.0,155300.0,,173100.0,173000.0,200700.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34184,1996-11-30,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,167100.0,176100.0,192400.0,221600.0,174400.0,156900.0,,174400.0,174000.0,200700.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34185,1996-12-31,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4609375,,147.4609375,163000.0,152.0,,,,,,,,,,,,,,,168800.0,177200.0,193500.0,223700.0,175600.0,158800.0,,175600.0,175300.0,201500.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
34186,1997-01-31,alum_rocksanta_claraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,169900.0,178100.0,195700.0,227400.0,176600.0,160600.0,,176600.0,176300.0,203100.0,,,,,,alum_rocksanta_claraca,Alum Rock,Santa Clara,CA
