,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
54480,1996-04-30,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.9871,,157.382,228425.0,163.0,,,,,,,,,,,,,,,217300.0,264400.0,390100.0,,252000.0,205800.0,209600.0,252000.0,270900.0,382000.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54481,1996-05-31,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4252,156.2725,159.4884,232325.0,161.0,,,,,,,,,,,,,,,213000.0,263800.0,382700.0,,249700.0,201100.0,204100.0,249700.0,268800.0,374800.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54482,1996-06-30,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0031,160.2303,164.7344,254625.0,160.0,,,,,,,,,,,,,,,210900.0,266300.0,373200.0,,250100.0,198700.0,202900.0,250100.0,270100.0,367700.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54483,1996-07-31,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1401,172.2605,164.1748,264075.0,160.0,,,,,,,,,,,,,,,212100.0,270000.0,362700.0,,252000.0,198800.0,203900.0,252000.0,273600.0,360200.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54484,1996-08-31,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.2275,169.6505,158.9701,261050.0,159.0,,,,,,,,,,,,,,,213700.0,271800.0,353900.0,,253400.0,199000.0,204400.0,253400.0,275500.0,354100.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54485,1996-09-30,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.7272,,155.4049,249000.0,159.0,,,,,,,,,,,,,,,214200.0,272100.0,348900.0,,254700.0,197900.0,204400.0,254700.0,275800.0,351000.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54486,1996-10-31,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0563,,155.0465,241750.0,160.0,,,,,,,,,,,,,,,214600.0,273300.0,347200.0,,256800.0,196600.0,205500.0,256800.0,276500.0,350600.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54487,1996-11-30,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.8996,,154.7028,229150.0,161.0,,,,,,,,,,,,,,,215100.0,275000.0,347000.0,,258900.0,196000.0,206200.0,258900.0,277800.0,351500.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54488,1996-12-31,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.638,,157.5182,232500.0,161.0,,,,,,,,,,,,,,,215300.0,276700.0,347700.0,,260500.0,195600.0,206200.0,260500.0,279000.0,352800.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54489,1997-01-31,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.546,,160.0201,256850.0,162.0,,,,,,,,,,,,,,,215000.0,278300.0,348000.0,,261700.0,194100.0,205100.0,261700.0,280300.0,353600.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
54490,1997-02-28,aptossanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.1975,,157.4348,248500.0,162.0,23.49,72.03,,,,,,,,,,,,,215400.0,280100.0,346800.0,,262400.0,193100.0,205200.0,262400.0,282100.0,354500.0,,,,,,aptossanta_cruzca,Aptos,Santa Cruz,CA
