,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
346243,1996-04-30,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5168,,72.3823,99600.0,65.0,,,,,,,,,,,,,,,,97100.0,122800.0,163300.0,103600.0,86600.0,,103600.0,104100.0,129000.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346244,1996-05-31,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7056,,75.2715,101650.0,65.0,,,,,,,,,,,,,,,,97100.0,123900.0,159300.0,102400.0,86800.0,,102400.0,102900.0,129800.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346245,1996-06-30,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.986,,75.7037,103950.0,65.0,,,,,,,,,,,,,,,,97000.0,125300.0,158300.0,101900.0,86600.0,,101900.0,102300.0,132000.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346246,1996-07-31,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.52199999999999,,75.4942,102675.0,65.0,,,,,,,,,,,,,,,,97100.0,126600.0,161000.0,101600.0,86500.0,,101600.0,102000.0,134400.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346247,1996-08-31,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0729,,76.0147,100525.0,65.0,,,,,,,,,,,,,,,,97100.0,127700.0,163600.0,101100.0,86300.0,,101100.0,101600.0,136400.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346248,1996-09-30,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8253,,76.5647,99800.0,66.0,,,,,,,,,,,,,,,,96700.0,128200.0,163500.0,101000.0,86000.0,,101000.0,101400.0,137500.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346249,1996-10-31,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0509,,74.5685,100850.0,66.0,,,,,,,,,,,,,,,,96500.0,128000.0,163400.0,101300.0,85500.0,,101300.0,101400.0,137800.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346250,1996-11-30,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8673,,75.0891,99950.0,65.0,,,,,,,,,,,,,,,,96300.0,127000.0,162200.0,101200.0,85000.0,,101200.0,101400.0,137300.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346251,1996-12-31,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7741,,74.7741,99525.0,64.0,,,,,,,,,,,,,,,,95900.0,126300.0,161600.0,101000.0,84600.0,,101000.0,101200.0,136700.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
346252,1997-01-31,ceresstanislausca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1375,,72.1375,96600.0,64.0,,,,,,,,,,,,,,,,95400.0,126300.0,162600.0,100800.0,84500.0,,100800.0,101100.0,136700.0,,,,,,ceresstanislausca,Ceres,Stanislaus,CA
