,Date,RegionName,HomesSoldAsForeclosuresRatio_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_CondoCoop,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PctTransactionsThatArePreviouslyForeclosuredHomes_AllHomes,PriceToRentRatio_AllHomes,Turnover_AllHomes,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental,Unique_City_ID,City,County,State
137675,1996-04-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,1133100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137676,1996-05-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,,,,1137000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137677,1996-06-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,,,,,,,,1138700.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137678,1996-07-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,1138900.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137679,1996-08-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,,,1139100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137680,1996-09-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,,,,,,,,,,,,1139400.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137681,1996-10-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,1138100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137682,1996-11-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,1137100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137683,1996-12-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,1136900.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137684,1997-01-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,,,,,,,,,,,,,,,,,,,,,,,,1137900.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137685,1997-02-28,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,7.46,90.85,,,,,,,,,,,,,,,599100.0,748100.0,624300.0,,,624300.0,624300.0,1137800.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137686,1997-03-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,9.32,88.14,,,,,,,,,,,,,,,600400.0,752100.0,622800.0,,,622800.0,622800.0,1136300.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137687,1997-04-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,19.66,77.97,,,,,,,,,,,,,,,600800.0,750400.0,622600.0,,,622600.0,622600.0,1133700.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137688,1997-05-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0,32.37,62.54,,,,,,,,,,,,,,,604800.0,750200.0,626500.0,,,626500.0,626500.0,1131800.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137689,1997-06-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,53.22,37.8,,,,,,,,,,,,,,,606400.0,744600.0,626800.0,,,626800.0,626800.0,1130000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137690,1997-07-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,51.02,40.0,,,,,,,,,,,,,,,611600.0,741600.0,632400.0,,,632400.0,632400.0,1130400.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137691,1997-08-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,53.56,38.14,,,,,,,,,,,,,,,619500.0,744900.0,644300.0,,,644300.0,644300.0,1131700.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137692,1997-09-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,25.25,65.08,,,,,,,,,,,,,,,626600.0,750400.0,654700.0,,,654700.0,654700.0,1132800.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137693,1997-10-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,22.2,68.81,,,,,,,,,,,,,,,633100.0,754900.0,658900.0,,,658900.0,658900.0,1132500.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137694,1997-11-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,19.15,74.75,,,,,,,,,,,,,,,639000.0,761800.0,660200.0,,,660200.0,660200.0,1132200.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137695,1997-12-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,21.36,68.81,,,,,,,,,,,,,,,641400.0,767600.0,661200.0,,,661200.0,661200.0,1134200.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137696,1998-01-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,45.79,46.13,,,,,,,,,,,6.5714,,,,645100.0,774600.0,665000.0,,,665000.0,665000.0,1137400.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137697,1998-02-28,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,51.01,40.07,,,,,,,,,,,6.7143,,,,651700.0,781500.0,673000.0,,,673000.0,673000.0,1140000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137698,1998-03-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,47.14,45.12,,,,,,,,,,,6.2857,,,,653600.0,786100.0,679500.0,,,679500.0,679500.0,1142000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137699,1998-04-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,27.61,63.64,,,,,,,,,,,6.8571,,,,652600.0,792400.0,682400.0,,,682400.0,682400.0,1143400.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137700,1998-05-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,34.01,57.58,,,,,,,,,,,6.8571,,,,650400.0,795300.0,681300.0,,,681300.0,681300.0,1144000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137701,1998-06-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,34.85,59.09,,,,,,,,,,,7.0,,,,645500.0,797500.0,679100.0,,,679100.0,679100.0,1145100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137702,1998-07-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,29.29,64.31,,,,,,,,,,,7.2857,,,,637500.0,801200.0,675400.0,,,675400.0,675400.0,1148000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137703,1998-08-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,33.16,61.62,,,,,,,,,,,6.7143,,,,635700.0,808400.0,675300.0,,,675300.0,675300.0,1152000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137704,1998-09-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,31.31,62.63,,,,,,,,,,,7.1429,,,,638700.0,820400.0,676300.0,,,676300.0,676300.0,1155200.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137705,1998-10-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,20.03,75.76,,,,,,,,,,,7.2857,,,,642800.0,834900.0,676200.0,,,676200.0,676200.0,1156300.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137706,1998-11-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,24.58,68.01,,,,,,,,,,,6.8571,,,,646600.0,847000.0,679300.0,,,679300.0,679300.0,1158200.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137707,1998-12-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,13.47,82.83,,,,,,,,,,,7.8571,,,,653500.0,856400.0,688900.0,,,688900.0,688900.0,1162100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137708,1999-01-31,bell_canyonventuraca,27.9446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,7.15,89.68,,,,,,,,,,,7.5714,,,,666500.0,866400.0,702500.0,,,702500.0,702500.0,1167200.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137709,1999-02-28,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,13.31,82.03,,,,,,,,,,,7.1429,,,,676900.0,870600.0,711200.0,,,711200.0,711200.0,1167900.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137710,1999-03-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,14.14,79.37,,,,,,,,,,,7.4286,,,,674600.0,871100.0,713800.0,,,713800.0,713800.0,1166400.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137711,1999-04-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,24.13,71.21,,,,,,,,,15.3846,,8.0,,,,671700.0,870600.0,714800.0,,,714800.0,714800.0,1167000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137712,1999-05-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,22.63,71.88,,,,,,,,,,,7.7143,,,,680100.0,881500.0,722500.0,,,722500.0,722500.0,1170100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137713,1999-06-30,bell_canyonventuraca,8.8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,19.13,74.04,,,,,,,,,,,8.5714,,,,695200.0,898500.0,737700.0,,,737700.0,737700.0,1172200.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137714,1999-07-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,22.13,72.38,,,,,,,,,,,7.8571,,,,710700.0,913800.0,755000.0,,,755000.0,755000.0,1173400.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137715,1999-08-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,18.14,75.54,,,,,,,,,,,8.4286,,,,723500.0,925200.0,765700.0,,,765700.0,765700.0,1174100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137716,1999-09-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,24.46,69.05,,,,,,,,,,,8.4286,,,,732600.0,935700.0,777700.0,,,777700.0,777700.0,1176900.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137717,1999-10-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,33.28,63.39,,,,,,,,,,,8.7143,,,,740600.0,946200.0,800600.0,,,800600.0,800600.0,1180000.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137718,1999-11-30,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,25.12,70.72,,,,,,,,,,,8.7143,,,,751400.0,956000.0,823900.0,,,823900.0,823900.0,1182700.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137719,1999-12-31,bell_canyonventuraca,14.7081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,40.77,53.74,,,,,,,,,,,8.4286,,,,764400.0,964900.0,837400.0,,,837400.0,837400.0,1184300.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
137720,2000-01-31,bell_canyonventuraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,22.89,71.14,,,,,,,,,,,9.0,,,,778700.0,974500.0,849100.0,,,849100.0,849100.0,1186100.0,,,,,,bell_canyonventuraca,Bell Canyon,Ventura,CA
